sample,fastq_1,fastq_2,strandedness
ATRXKI_CONTROL_REP1,goldencopy/19_21012025_ds.afad6f6d8ab748a5a671dd707939f111/19_21012025_S19_L001_R1_001.fastq.gz,,auto
ATRXKI_CONTROL_REP2,goldencopy/20_21012025_ds.3458c03c0a264387b9b1b4adb95db1fb/20_21012025_S20_L001_R1_001.fastq.gz,,auto
ATRXKI_CONTROL_REP3,goldencopy/21_21012025_ds.e1435086d86840398e256d700decb190/21_21012025_S21_L001_R1_001.fastq.gz,,auto
ATRXWT_WATER_REP1,goldencopy/37_21012025_ds.337824f926c348e693dd7eb8a89b6f44/37_21012025_S37_L001_R1_001.fastq.gz,,auto
ATRXWT_WATER_REP2,goldencopy/38_21012025_ds.16ea6a931817448db3dc12215ff74a77/38_21012025_S38_L001_R1_001.fastq.gz,,auto
ATRXWT_WATER_REP3,goldencopy/39_21012025_ds.417caebc8e18472d8f2b30186f456306/39_21012025_S39_L001_R1_001.fastq.gz,,auto
ATRXKI_WATER_REP1,goldencopy/40_21012025_ds.44d428eaf45c430fa4e01e8020c6dd83/40_21012025_S40_L001_R1_001.fastq.gz,,auto
ATRXKI_WATER_REP2,goldencopy/41_21012025_ds.b6c03f3e0c814f4eade6e562d1e5df08/41_21012025_S41_L001_R1_001.fastq.gz,,auto
ATRXKI_WATER_REP3,goldencopy/42_21012025_ds.2fa1af84d6df4fbd812d0bd14db24d96/42_21012025_S42_L001_R1_001.fastq.gz,,auto
ATRXWT_ANIFRO_REP1,goldencopy/43_21012025_ds.63f56c106754450fa206d0477d2d37e4/43_21012025_S43_L001_R1_001.fastq.gz,,auto
ATRXWT_ANIFRO_REP2,goldencopy/44_21012025_ds.afd645559a6a4c84bbcab74a8b345860/44_21012025_S44_L001_R1_001.fastq.gz,,auto
ATRXWT_ANIFRO_REP3,goldencopy/45_21012025_ds.200c5b542beb4636945ef0c2b4602cf1/45_21012025_S45_L001_R1_001.fastq.gz,,auto
ATRXKI_ANIFRO_REP1,goldencopy/46_21012025_ds.856aa4ef16d94d93b2682d966a953cd2/46_21012025_S46_L001_R1_001.fastq.gz,,auto
ATRXKI_ANIFRO_REP2,goldencopy/47_21012025_ds.5fb9d92594d84016961a5637383be930/47_21012025_S47_L001_R1_001.fastq.gz,,auto
ATRXKI_ANIFRO_REP3,goldencopy/48_21012025_ds.782ab2363cdc4c4bbbbc1b114a4e190b/48_21012025_S48_L001_R1_001.fastq.gz,,auto
